,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
4092,4092,F33508,8241.0,E,4.0,2020-11-25 13:37:21.040,2020-11-25,2020-11-25 00:00:00,2020-11-25,,4046.091,0.0,0.0
4094,4094,F33510,8242.0,E,4.0,2020-11-25 14:02:10.590,2020-11-25,2020-11-25 00:00:00,2020-11-25,,450.00000000000006,0.0,0.0
4100,4100,F33516,248.0,E,4.0,2020-11-25 17:25:52.710,2020-11-25,2020-11-25 00:00:00,2020-11-25,,910.0,0.0,0.0
4106,4106,F33522,248.0,E,4.0,2020-11-26 11:28:12.443,2020-11-26,2020-11-26 00:00:00,2020-11-26,,384.75500000000005,0.0,0.0
4116,4116,F33532,3959.0,E,4.0,2020-11-26 16:28:05.243,2020-11-26,2020-11-26 00:00:00,2020-11-26,,600.0,0.0,0.0
4117,4117,F33533,644.0,E,4.0,2020-11-26 16:47:29.330,2020-11-26,2020-11-27 00:00:00,2021-01-25,,11891.000000000002,0.0,0.0
4122,4122,F33538,8215.0,E,4.0,2020-11-27 09:02:04.800,2020-11-27,2020-11-27 00:00:00,2020-11-27,,13339.51,0.0,0.0
4124,4124,F33540,8240.0,E,4.0,2020-11-27 09:12:53.527,2020-11-27,2020-11-27 00:00:00,2020-11-27,,1700.0000000000002,0.0,0.0
4128,4128,F33544,644.0,E,4.0,2020-11-27 10:58:48.957,2020-11-27,2020-11-27 00:00:00,2021-01-26,,23782.000000000004,0.0,0.0
4132,4132,F33548,8245.0,E,4.0,2020-11-27 12:52:20.743,2020-11-27,2020-11-27 00:00:00,2020-11-27,,4822.5,0.0,0.0
4135,4135,F33551,3836.0,E,4.0,2020-11-27 13:47:37.193,2020-11-27,2020-12-18 00:00:00,2020-11-27,,42210.0,0.0,0.0
4140,4140,F33556,2853.0,E,4.0,2020-11-27 15:52:22.030,2020-11-27,2020-11-27 00:00:00,2020-11-27,,612.7330000000001,0.0,0.0
4141,4141,F33557,8241.0,E,4.0,2020-11-27 16:45:25.440,2020-11-27,2020-11-27 00:00:00,2020-11-27,,719.7273,0.0,0.0
4142,4142,F33558,4810.0,E,4.0,2020-11-30 08:52:20.537,2020-11-30,2020-11-12 00:00:00,2020-12-15,,3349.0000000000005,0.0,0.0
